,EQUIPMENT_DESC,Count
437,ALLIANCE VISION SYSTEM CONV - M11,7
438,CODER_INKJET_I91619022,6
439,L4 LABEL_PRINTER_SPOT_APPL_PALLET_252,6
440,PUMP_VANE_VACUUM_ACCUMAX,6
441,CONV_RLLR_M55_M67,6
442,L3 PACK LASER CODER (RIVERWOOD),6
443,DESALITECH_R.O._SYSTEM_R-20,6
444,PUMP_CENT_SANIT_SUGAR_UNLOAD,6
445,RECOVERY TANK  GOULDS PUMP,6
446,TANK_SS_STOR_FILLER_RETURN L3,6
447,TANK_SS_STOR_FILLER_SUPPLY L3,6
448,"CODER-LINE 3 TRINE WEST ""B""",6
449,CODER-LINE 3 DOUGLAS (WEST),6
450,L2 INTELITEK - M0  ELEVATOR INFEED,6
451,CONV_MT_CAN,6
452,MIXER_MB_ACCUBLEND_SYSTEM_WATER,6
453,TANK_SS_STOR_SYRUP_16,6
454,CONV_MT_M200_M700,6
455,TANK_SS_STOR_SYRUP_14,6
456,ALLIANCE - VACUUM INCLINE,6
457,BLENDING SKID #1 SHEAR PUMP/MOTOR,5
458,SOUTH CLEAVERBROOKS BOILER,5
459,SUGAR UV SANITATION,5
460,PUMP_CENT_SANIT_FILLER_SUPPLY L3,5
461,CONV_RLLR_EMPTY_PALLET,5
462,ANALYZER_COBRIX_5600_MULTIBEV,5
463,CITY WATER TANK,5
464,SYRUP TANK #20,5
465,L3 GAMMA LEVEL DETECTION (SOUTH),5
466,CONV_MT_FULL_BTL_L1FB40,5
467,L10 CSW_LID_FEEDER,5
468,TANK_SS_STOR_SYRUP_8,5
469,L1 PALLET LABELING SYSTEM,5
470,ICE/FOUNTAIN MACHINE,5
471,TURBIDITY METER,5
472,TANK_SS_STOR_SYRUP_20,5
473,NIBTORQUE - AIR TORQUE WRENCH,5
474,L3 AIR CONVEYORS,5
475,L3 BAND CHIPPER,5
476,TANK_STL_STOR_BALANCE L3,5
477,TANK_SS_STOR_SYRUP_13,5
478,L3 CAN WARMER HEATER,5
479,COND_EVAP_NH3_ATC-1708E_EAST,5
480,TANK_STL_STOR_BTL_COOLER L3,5
481,ALLIANCE - #6 STRAIGHT INTO SINGLE FILER,5
482,TANK_SS_BATCH_MIX_1 L3,5
483,ALLIANCE CCF-359 PALLETIZER INFEED,5
484,BUSCHMAN - M3,5
485,L2 SLAUTTERBACK GLUE UNIT - WEST,5
486,CABINET_LAMINAR_FLOW_PURAIR,4
487,ALLIANCE - VACUUM DECLINE,4
488,L3 NORDSON GLUE UNIT - EAST SIDE,4
489,L9 WATER_HEATER_DIR_FIRE_L9,4
490,LABELER_SPOT_TAG_APPLICATOR,4
491,PACK CONVEYOR (PC1),4
492,LIFT_EQUIP_TRANSFER_TABLE,4
493,"APS(E)-M27, PACKER INFEED",4
494,LOCKER_HAZMAT_STORAGE_DENIOS_#3,4
495,ANALYZER_CO2_MAX_BEV,4
496,"APS(E)-M21, ACC TABLE EXIT",4
497,LOCKER_HAZMAT_STORAGE_DENIOS_#4,4
498,SYRUP ROOM MOBILE_LFT_SCISSOR,4
499,L2 PACKER ACCUMULATION TABLE,4
500,L2 INTELITEK - M6 2ND SECTION TO SLIDE,4
501,CONV_ACCUM_TBL,4
502,TANK_SS_STOR_SYRUP_4,4
503,L10 FILLER_ROTARY_CAN_,4
504,FULL CAN CONVEYOR (FC41B),4
